# stride	pf	operation	ns_per_op
N=1	4	insert	53.2
N=1	4	get_hit	8.1
N=1	4	get_miss	10.6
N=1	4	delete	5.9
N=1	4	churn_del	8.9
N=1	4	churn_ins	9.6
N=1	4	post_churn_hit	6.3
N=1	8	insert	5.9
N=1	8	get_hit	5.0
N=1	8	get_miss	6.2
N=1	8	delete	5.1
N=1	8	churn_del	8.2
N=1	8	churn_ins	8.0
N=1	8	post_churn_hit	5.2
N=1	12	insert	5.8
N=1	12	get_hit	4.8
N=1	12	get_miss	5.7
N=1	12	delete	4.9
N=1	12	churn_del	7.7
N=1	12	churn_ins	7.7
N=1	12	post_churn_hit	5.2
N=1	16	insert	6.0
N=1	16	get_hit	4.8
N=1	16	get_miss	5.6
N=1	16	delete	4.9
N=1	16	churn_del	7.8
N=1	16	churn_ins	8.9
N=1	16	post_churn_hit	5.4
N=1	20	insert	6.7
N=1	20	get_hit	4.9
N=1	20	get_miss	5.8
N=1	20	delete	4.8
N=1	20	churn_del	7.7
N=1	20	churn_ins	9.1
N=1	20	post_churn_hit	5.6
N=1	24	insert	7.0
N=1	24	get_hit	4.9
N=1	24	get_miss	5.9
N=1	24	delete	4.9
N=1	24	churn_del	7.8
N=1	24	churn_ins	9.2
N=1	24	post_churn_hit	5.7
N=1	28	insert	6.7
N=1	28	get_hit	4.9
N=1	28	get_miss	5.8
N=1	28	delete	4.7
N=1	28	churn_del	7.6
N=1	28	churn_ins	8.5
N=1	28	post_churn_hit	5.3
N=1	32	insert	6.4
N=1	32	get_hit	4.8
N=1	32	get_miss	5.8
N=1	32	delete	4.7
N=1	32	churn_del	7.6
N=1	32	churn_ins	8.1
N=1	32	post_churn_hit	5.1
N=1	40	insert	6.5
N=1	40	get_hit	4.8
N=1	40	get_miss	5.8
N=1	40	delete	4.7
N=1	40	churn_del	7.7
N=1	40	churn_ins	8.6
N=1	40	post_churn_hit	5.0
N=1	48	insert	6.8
N=1	48	get_hit	4.8
N=1	48	get_miss	5.7
N=1	48	delete	4.7
N=1	48	churn_del	7.7
N=1	48	churn_ins	8.7
N=1	48	post_churn_hit	5.0
N=1	64	insert	6.7
N=1	64	get_hit	4.8
N=1	64	get_miss	5.8
N=1	64	delete	4.8
N=1	64	churn_del	7.8
N=1	64	churn_ins	8.8
N=1	64	post_churn_hit	5.0
N=2	4	insert	7.1
N=2	4	get_hit	5.0
N=2	4	get_miss	7.5
N=2	4	delete	5.6
N=2	4	churn_del	9.5
N=2	4	churn_ins	9.0
N=2	4	post_churn_hit	5.4
N=2	8	insert	6.7
N=2	8	get_hit	5.0
N=2	8	get_miss	7.0
N=2	8	delete	5.1
N=2	8	churn_del	8.5
N=2	8	churn_ins	8.6
N=2	8	post_churn_hit	5.6
N=2	12	insert	6.7
N=2	12	get_hit	5.0
N=2	12	get_miss	6.8
N=2	12	delete	4.8
N=2	12	churn_del	8.1
N=2	12	churn_ins	8.6
N=2	12	post_churn_hit	5.8
N=2	16	insert	6.9
N=2	16	get_hit	5.0
N=2	16	get_miss	6.7
N=2	16	delete	4.8
N=2	16	churn_del	8.1
N=2	16	churn_ins	8.7
N=2	16	post_churn_hit	5.8
N=2	20	insert	6.9
N=2	20	get_hit	4.9
N=2	20	get_miss	6.6
N=2	20	delete	4.6
N=2	20	churn_del	8.0
N=2	20	churn_ins	8.4
N=2	20	post_churn_hit	5.6
N=2	24	insert	6.5
N=2	24	get_hit	4.9
N=2	24	get_miss	6.5
N=2	24	delete	4.6
N=2	24	churn_del	8.0
N=2	24	churn_ins	8.4
N=2	24	post_churn_hit	5.4
N=2	28	insert	6.5
N=2	28	get_hit	4.9
N=2	28	get_miss	6.5
N=2	28	delete	4.6
N=2	28	churn_del	8.0
N=2	28	churn_ins	8.3
N=2	28	post_churn_hit	5.4
N=2	32	insert	6.4
N=2	32	get_hit	4.9
N=2	32	get_miss	6.4
N=2	32	delete	4.6
N=2	32	churn_del	8.1
N=2	32	churn_ins	8.2
N=2	32	post_churn_hit	5.3
N=2	40	insert	6.7
N=2	40	get_hit	4.9
N=2	40	get_miss	6.4
N=2	40	delete	4.8
N=2	40	churn_del	8.2
N=2	40	churn_ins	8.6
N=2	40	post_churn_hit	5.3
N=2	48	insert	6.9
N=2	48	get_hit	5.0
N=2	48	get_miss	6.1
N=2	48	delete	4.8
N=2	48	churn_del	8.2
N=2	48	churn_ins	8.7
N=2	48	post_churn_hit	5.3
N=2	64	insert	6.9
N=2	64	get_hit	5.0
N=2	64	get_miss	6.0
N=2	64	delete	4.9
N=2	64	churn_del	8.3
N=2	64	churn_ins	9.0
N=2	64	post_churn_hit	5.7
N=4	4	insert	8.8
N=4	4	get_hit	5.9
N=4	4	get_miss	7.5
N=4	4	delete	6.5
N=4	4	churn_del	9.9
N=4	4	churn_ins	10.0
N=4	4	post_churn_hit	6.9
N=4	8	insert	7.9
N=4	8	get_hit	5.7
N=4	8	get_miss	7.1
N=4	8	delete	5.9
N=4	8	churn_del	8.9
N=4	8	churn_ins	9.5
N=4	8	post_churn_hit	6.7
N=4	12	insert	8.0
N=4	12	get_hit	5.7
N=4	12	get_miss	7.0
N=4	12	delete	5.7
N=4	12	churn_del	8.6
N=4	12	churn_ins	9.6
N=4	12	post_churn_hit	6.8
N=4	16	insert	8.5
N=4	16	get_hit	5.8
N=4	16	get_miss	6.9
N=4	16	delete	5.5
N=4	16	churn_del	8.5
N=4	16	churn_ins	9.6
N=4	16	post_churn_hit	6.7
N=4	20	insert	8.3
N=4	20	get_hit	5.7
N=4	20	get_miss	6.9
N=4	20	delete	5.4
N=4	20	churn_del	8.5
N=4	20	churn_ins	9.5
N=4	20	post_churn_hit	6.7
N=4	24	insert	8.0
N=4	24	get_hit	5.5
N=4	24	get_miss	6.9
N=4	24	delete	5.2
N=4	24	churn_del	8.3
N=4	24	churn_ins	9.3
N=4	24	post_churn_hit	6.5
N=4	28	insert	7.5
N=4	28	get_hit	5.2
N=4	28	get_miss	6.6
N=4	28	delete	5.0
N=4	28	churn_del	8.2
N=4	28	churn_ins	8.8
N=4	28	post_churn_hit	6.1
N=4	32	insert	7.4
N=4	32	get_hit	5.1
N=4	32	get_miss	6.3
N=4	32	delete	4.9
N=4	32	churn_del	8.2
N=4	32	churn_ins	8.7
N=4	32	post_churn_hit	5.8
N=4	40	insert	7.9
N=4	40	get_hit	5.1
N=4	40	get_miss	6.0
N=4	40	delete	5.0
N=4	40	churn_del	8.2
N=4	40	churn_ins	8.8
N=4	40	post_churn_hit	5.6
N=4	48	insert	8.0
N=4	48	get_hit	5.1
N=4	48	get_miss	5.9
N=4	48	delete	4.9
N=4	48	churn_del	8.2
N=4	48	churn_ins	9.2
N=4	48	post_churn_hit	5.7
N=4	64	insert	7.8
N=4	64	get_hit	5.0
N=4	64	get_miss	5.9
N=4	64	delete	4.7
N=4	64	churn_del	8.2
N=4	64	churn_ins	9.2
N=4	64	post_churn_hit	5.6
